STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,GENDER,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,OVER VALID VOTES + NOTA,OVER TOTAL ELECTORS,TOTAL ELECTORS
Tamil Nadu,10,THIRUVOTTIYUR,1 Senthil Kumar. N,MALE,46,GENERAL,TVK,Whistle,109788,279,110067,53.15,44.94,244931
Tamil Nadu,10,THIRUVOTTIYUR,2 Sundararaj. L,MALE,59,GENERAL,CPI(M),"Hammer, Sickle and Star",56265,238,56503,27.28,23.07,244931
Tamil Nadu,10,THIRUVOTTIYUR,3 Kuppan. K,MALE,72,GENERAL,ADMK,Two leaves,28190,130,28320,13.68,11.56,244931
Tamil Nadu,10,THIRUVOTTIYUR,4 Sathya. B,FEMALE,40,GENERAL,NTK,Farmer Carrying Plough,8380,33,8413,4.06,3.43,244931
Tamil Nadu,10,THIRUVOTTIYUR,5 Michaelraj. M. A,MALE,56,GENERAL,IND,Gas cylinder,832,6,838,0.4,0.34,244931
Tamil Nadu,10,THIRUVOTTIYUR,7 Mahendra Kumar. D,MALE,45,GENERAL,BSP,Elephant,455,3,458,0.22,0.19,244931
Tamil Nadu,10,THIRUVOTTIYUR,8 Vijay. A,MALE,31,SC,IND,Electric pole,310,6,316,0.15,0.13,244931
Tamil Nadu,10,THIRUVOTTIYUR,9 Balaruban,MALE,32,GENERAL,IND,Boat with man and sail,307,0,307,0.15,0.13,244931
Tamil Nadu,10,THIRUVOTTIYUR,10 Sasirekha. M,FEMALE,55,GENERAL,VTVTK,Pestle and mortar,271,0,271,0.13,0.11,244931
Tamil Nadu,10,THIRUVOTTIYUR,11 Dilli Kumar. R,MALE,41,GENERAL,DNA,Ship,198,0,198,0.1,0.08,244931
Tamil Nadu,10,THIRUVOTTIYUR,12 Venkataramanan. J,MALE,28,GENERAL,tavk,Camera,148,1,149,0.07,0.06,244931
Tamil Nadu,10,THIRUVOTTIYUR,13 Thanikasalam. B,MALE,46,GENERAL,IND,Door bell,138,1,139,0.07,0.06,244931
Tamil Nadu,10,THIRUVOTTIYUR,14 Gopi. K,MALE,35,SC,IND,Gramophone,117,0,117,0.06,0.05,244931
Tamil Nadu,10,THIRUVOTTIYUR,15 Janagaraj,MALE,46,GENERAL,IND,Wool and Needle,109,1,110,0.05,0.04,244931
Tamil Nadu,10,THIRUVOTTIYUR,16 Aravind. R,MALE,32,GENERAL,IND,Matchbox,72,5,77,0.04,0.03,244931
TURN OUT,,,,,,TOTAL:,,,206375,713,207088,-,84.55,
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,1 N. Marie Wilson,MALE,46,GENERAL,TVK,Whistle,97529,271,97800,53.97,49.05,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,2 J. John Ebenezer,MALE,50,GENERAL,DMK,Rising sun,47907,225,48132,26.56,24.14,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,3 R.s.raajesh,MALE,54,GENERAL,ADMK,Two leaves,26754,138,26892,14.84,13.49,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,4 Vennila.t,FEMALE,42,GENERAL,NTK,Farmer Carrying Plough,5330,34,5364,2.96,2.69,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,6 B.navin,MALE,30,GENERAL,tavk,Camera,337,1,338,0.19,0.17,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,7 E. Raamadasan,MALE,73,SC,MANAK,Diamond,236,0,236,0.13,0.12,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,8 D.prabhu,MALE,37,SC,IND,Iron,210,1,211,0.12,0.11,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,9 A.mohanraj,MALE,55,GENERAL,SUCI,Scissors,178,1,179,0.1,0.09,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,10 J.saravanakumar,MALE,36,GENERAL,IND,Road roller,149,0,149,0.08,0.07,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,11 M. Sathish,MALE,42,GENERAL,IND,Chain,112,0,112,0.06,0.06,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,12 K. Murali,MALE,43,GENERAL,IND,Pressure cooker,91,0,91,0.05,0.05,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,13 V.sudhakar,MALE,31,GENERAL,IND,Green chilli,86,0,86,0.05,0.04,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,14 A.vijay,MALE,42,GENERAL,IND,Robot,71,0,71,0.04,0.04,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,15 C. Rajamanickam,MALE,65,GENERAL,IND,Gas cylinder,65,0,65,0.04,0.03,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,16 G. Vijay,MALE,29,SC,IND,Hand cart,58,0,58,0.03,0.03,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,17 G. Bothi Rajan,MALE,45,GENERAL,IND,Cake,53,1,54,0.03,0.03,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,18 L.saravanan,MALE,50,GENERAL,IND,Laptop,54,0,54,0.03,0.03,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,19 J.murali Krishnan,MALE,26,GENERAL,IND,Flute,47,0,47,0.03,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,20 Manikandan.h,MALE,28,GENERAL,IND,Chimney,46,1,47,0.03,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,21 Chandrasekar,MALE,51,GENERAL,MMKA,Matchbox,47,0,47,0.03,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,22 D.karthikeyan,MALE,26,GENERAL,SAP,Calculator,44,0,44,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,23 R.ethiraj,MALE,51,GENERAL,IND,Grapes,44,0,44,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,24 C.janarthanan,MALE,33,SC,IND,Ring,42,0,42,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,25 A. Usha,FEMALE,38,GENERAL,IND,Baby walker,41,0,41,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,26 V.shankar,MALE,63,GENERAL,IND,Bench,40,0,40,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,27 R.devakumar,MALE,36,SC,IND,Coat,39,1,40,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,28 R. Muthu Chella Bharathi,MALE,38,GENERAL,IND,Carrom board,39,0,39,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,29 D. Janarthanan,MALE,43,SC,IND,Mike,37,0,37,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,30 R.tamilarasan,MALE,34,GENERAL,IND,Electric pole,36,0,36,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,31 P. Marimuthu,MALE,70,GENERAL,IND,Mixee,35,0,35,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,32 V. Madhan Mohan,MALE,35,GENERAL,IND,Bat,35,0,35,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,33 D. Ajith Kumar,MALE,26,GENERAL,IND,Biscuit,31,1,32,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,34 Amudha.n,FEMALE,43,GENERAL,IND,Triangle,30,0,30,0.02,0.02,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,35 J.vijayan,MALE,42,GENERAL,IND,Coconut farm,25,1,26,0.01,0.01,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,36 K. Sujith,MALE,31,GENERAL,IND,Carpet,25,0,25,0.01,0.01,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,37 Tamilselvan,MALE,27,SC,IND,Sofa,25,0,25,0.01,0.01,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,38 S.emmanuvel,MALE,42,SC,IND,Ship,24,0,24,0.01,0.01,199394
Tamil Nadu,11,DR.RADHAKRISHNAN NAGAR,39 G. Madhan Kumar,MALE,36,GENERAL,IND,Box,17,0,17,0.01,0.01,199394
TURN OUT,,,,,,TOTAL:,,,180530,680,181210,-,90.88,
Tamil Nadu,12,PERAMBUR,1 C. Joseph Vijay,MALE,52,GENERAL,TVK,Whistle,119785,580,120365,58.89,53.18,226345
Tamil Nadu,12,PERAMBUR,2 R.d. Shekar,MALE,59,GENERAL,DMK,Rising sun,66080,570,66650,32.61,29.45,226345
Tamil Nadu,12,PERAMBUR,3 M. Thilagabama,FEMALE,56,GENERAL,PMK,Mango,8471,90,8561,4.19,3.78,226345
Tamil Nadu,12,PERAMBUR,4 S. Vetri Thamizhan,MALE,40,GENERAL,NTK,Farmer Carrying Plough,5080,34,5114,2.5,2.26,226345
Tamil Nadu,12,PERAMBUR,6 A. Rajaram,MALE,51,SC,RPPRINAT,Ganna kisan,255,1,256,0.13,0.11,226345
Tamil Nadu,12,PERAMBUR,7 G. Ruthra Kumar,MALE,33,GENERAL,IND,Pen nib with seven rays,235,3,238,0.12,0.11,226345
Tamil Nadu,12,PERAMBUR,8 Agni Aalvar,MALE,45,GENERAL,IND,Pressure cooker,227,3,230,0.11,0.1,226345
Tamil Nadu,12,PERAMBUR,9 Vijay,MALE,29,GENERAL,AIJYMKG,Road roller,207,9,216,0.11,0.1,226345
Tamil Nadu,12,PERAMBUR,10 Vetri Vel Selvam,MALE,32,GENERAL,BSP,Elephant,172,2,174,0.09,0.08,226345
Tamil Nadu,12,PERAMBUR,11 V. Raji,MALE,50,GENERAL,IND,Tea filter,141,7,148,0.07,0.07,226345
Tamil Nadu,12,PERAMBUR,12 Bowdharaj,MALE,53,SC,IND,Mike,118,0,118,0.06,0.05,226345
Tamil Nadu,12,PERAMBUR,13 J. Sebastin,MALE,49,GENERAL,SUCI,Gas cylinder,100,1,101,0.05,0.04,226345
Tamil Nadu,12,PERAMBUR,14 D.v. Venugopal,MALE,55,GENERAL,tavk,Camera,97,1,98,0.05,0.04,226345
Tamil Nadu,12,PERAMBUR,15 Dr.d. Madan,MALE,28,GENERAL,IND,Stethoscope,95,0,95,0.05,0.04,226345
Tamil Nadu,12,PERAMBUR,16 K.m. Devan,MALE,41,GENERAL,MMRSK,Computer,94,0,94,0.05,0.04,226345
Tamil Nadu,12,PERAMBUR,17 B. Balaji,MALE,37,GENERAL,IND,Jackfruit,93,0,93,0.05,0.04,226345
Tamil Nadu,12,PERAMBUR,18 Vijay. G,MALE,35,GENERAL,IND,Gramophone,89,1,90,0.04,0.04,226345
